,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_advantage,match_outcome,home_team_recent_form,away_team_recent_form
10927,1977-04-24,Russia,Greece,2,0,FIFA World Cup qualification,Moscow,Soviet Union,True,0,1,0.4,0.0
10929,1977-04-27,Germany,Northern Ireland,5,0,Friendly,Cologne,Germany,False,1,1,0.6,0.0
10931,1977-04-27,Scotland,Sweden,3,1,Friendly,Glasgow,Scotland,False,1,1,1.0,0.6
10933,1977-04-30,Hungary,Russia,2,1,FIFA World Cup qualification,Budapest,Hungary,False,1,1,0.4,0.6
10932,1977-04-30,Austria,Malta,9,0,FIFA World Cup qualification,Salzburg,Austria,False,1,1,1.0,0.0
10936,1977-05-01,Denmark,Poland,1,2,FIFA World Cup qualification,Copenhagen,Denmark,False,1,2,0.2,0.4
10940,1977-05-10,Greece,Russia,1,0,FIFA World Cup qualification,Salonica,Greece,False,1,1,0.0,0.6
10941,1977-05-15,Cyprus,Poland,1,3,FIFA World Cup qualification,Limassol,Cyprus,False,1,2,0.0,0.6
10943,1977-05-18,Russia,Hungary,2,0,FIFA World Cup qualification,Tbilisi,Soviet Union,True,0,1,0.4,0.6
10947,1977-05-26,Luxembourg,Finland,0,1,FIFA World Cup qualification,Luxembourg,Luxembourg,False,1,2,0.0,0.6
10948,1977-05-26,Sweden,Norway,1,0,Nordic Championship,Gothenburg,Sweden,False,1,1,0.4,0.4
10949,1977-05-28,Hungary,Greece,3,0,FIFA World Cup qualification,Budapest,Hungary,False,1,1,0.6,0.2
10950,1977-05-28,Northern Ireland,England,1,2,British Home Championship,Belfast,Northern Ireland,False,1,2,0.0,0.4
10952,1977-05-28,Wales,Scotland,0,0,British Home Championship,Wrexham,Wales,False,1,0,0.2,1.0
10957,1977-05-31,England,Wales,0,1,British Home Championship,London,England,False,1,2,0.6,0.2
10961,1977-06-01,Scotland,Northern Ireland,3,0,British Home Championship,Glasgow,Scotland,False,1,1,0.8,0.0
10958,1977-06-01,Bulgaria,Republic of Ireland,2,1,FIFA World Cup qualification,Sofia,Bulgaria,False,1,1,0.4,0.2
10960,1977-06-01,Norway,Denmark,0,2,Friendly,Oslo,Norway,False,1,2,0.4,0.2
10963,1977-06-03,Northern Ireland,Wales,1,1,British Home Championship,Belfast,Northern Ireland,False,1,0,0.0,0.4
10964,1977-06-04,England,Scotland,1,2,British Home Championship,London,England,False,1,2,0.4,0.8
10971,1977-06-08,Finland,Italy,0,3,FIFA World Cup qualification,Helsinki,Finland,False,1,2,0.6,0.8
10972,1977-06-08,Sweden,Switzerland,2,1,FIFA World Cup qualification,Solna,Sweden,False,1,1,0.4,0.0
10977,1977-06-11,Iceland,Northern Ireland,1,0,FIFA World Cup qualification,Reykjavík,Iceland,False,1,1,0.4,0.0
10987,1977-06-15,Denmark,Sweden,2,1,Nordic Championship,Copenhagen,Denmark,False,1,1,0.4,0.6
10995,1977-06-22,Finland,Denmark,1,2,Nordic Championship,Helsinki,Finland,False,1,2,0.6,0.4
11004,1977-06-30,Iceland,Norway,2,1,Friendly,Reykjavík,Iceland,False,1,1,0.4,0.4
11024,1977-07-20,Iceland,Sweden,0,1,Friendly,Reykjavík,Iceland,False,1,2,0.6,0.6
11051,1977-08-18,Norway,Finland,1,1,Nordic Championship,Oslo,Norway,False,1,0,0.4,0.4
11053,1977-08-24,Austria,Poland,2,1,Friendly,Vienna,Austria,False,1,1,1.0,0.6
11055,1977-08-31,Netherlands,Iceland,4,1,FIFA World Cup qualification,Nijmegen,Netherlands,False,1,1,0.8,0.4
11058,1977-09-03,Belgium,Iceland,4,0,FIFA World Cup qualification,Brussels,Belgium,False,1,1,0.4,0.4
11065,1977-09-07,England,Switzerland,0,0,Friendly,London,England,False,1,0,0.4,0.0
11066,1977-09-07,Finland,Germany,0,1,Friendly,Helsinki,Finland,False,1,2,0.4,0.6
11068,1977-09-07,Norway,Sweden,2,1,FIFA World Cup qualification,Oslo,Norway,False,1,1,0.2,0.6
11069,1977-09-07,Russia,Poland,4,1,Friendly,Volgograd,Soviet Union,False,1,1,0.6,0.4
11080,1977-09-21,Bulgaria,Turkey,3,1,Balkan Cup,Sofia,Bulgaria,False,1,1,0.6,0.4
11082,1977-09-21,Northern Ireland,Iceland,2,0,FIFA World Cup qualification,Belfast,Northern Ireland,False,1,1,0.0,0.4
11083,1977-09-21,Poland,Denmark,4,1,FIFA World Cup qualification,Chorzów,Poland,False,1,1,0.4,0.6
11084,1977-09-21,Romania,Greece,6,1,Friendly,Bucharest,Romania,False,1,1,0.6,0.2
11086,1977-09-21,Switzerland,Spain,1,2,Friendly,Berne,Switzerland,False,1,2,0.0,0.2
11106,1977-10-05,Switzerland,Finland,2,0,Friendly,Zürich,Switzerland,False,1,1,0.0,0.2
11105,1977-10-05,Sweden,Denmark,1,0,Friendly,Malmö,Sweden,False,1,1,0.6,0.6
11104,1977-10-05,Netherlands,Russia,0,0,Friendly,Rotterdam,Netherlands,False,1,0,0.8,0.6
11109,1977-10-08,France,Russia,0,0,Friendly,Paris,France,False,1,0,0.8,0.4
11110,1977-10-08,Germany,Italy,2,1,Friendly,Berlin,Germany,False,1,1,0.8,0.8
11113,1977-10-09,Denmark,Portugal,2,4,FIFA World Cup qualification,Copenhagen,Denmark,False,1,2,0.6,0.8
11121,1977-10-12,Hungary,Sweden,3,0,Friendly,Budapest,Hungary,False,1,1,0.6,0.6
11122,1977-10-12,Republic of Ireland,Bulgaria,0,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False,1,0,0.2,0.8
11123,1977-10-12,Luxembourg,England,0,2,FIFA World Cup qualification,Luxembourg,Luxembourg,False,1,2,0.0,0.4
11125,1977-10-12,Northern Ireland,Netherlands,0,1,FIFA World Cup qualification,Belfast,Northern Ireland,False,1,2,0.2,0.6
